D_w_x_y_z		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	
D_1_2_3_5	1	48	44	4	18	17	15	22	27	31	14	34	12	8	40	43	46	47	35	25	33	38	32	41	30	24	49	21	1	2	20	16	3	11	5	23	9	26	45	42	6	37	39	36	10	13	19	29	28	7	
D_1_2_3_5	2	27	18	17	12	31	32	34	15	14	49	4	1	47	46	39	13	44	35	45	43	28	33	41	37	30	29	38	24	10	48	23	22	2	3	5	16	11	9	8	6	7	42	25	26	36	19	20	21	40	
D_1_2_3_5	3	13	1	46	45	18	23	31	32	15	14	28	49	10	9	41	39	27	38	37	35	42	34	43	44	30	47	29	24	12	48	22	2	3	4	17	6	8	11	5	7	25	26	16	36	19	33	20	21	40	
D_1_2_3_5	4	1	45	13	38	18	37	15	14	28	11	10	39	41	42	6	46	23	2	31	29	30	24	36	47	32	27	49	12	3	22	21	4	5	7	17	8	26	9	44	43	25	16	35	34	33	19	20	48	40	
D_1_2_3_5	5	39	13	45	28	42	37	41	38	20	11	9	6	2	1	10	36	31	30	29	24	40	43	46	47	32	27	49	3	23	22	21	19	5	7	8	26	12	14	25	4	44	16	17	18	35	34	33	48	15	
D_1_2_3_5	6	6	42	24	25	30	36	20	19	37	38	16	41	10	9	7	5	45	2	11	28	29	40	39	43	46	34	31	47	49	26	1	23	3	22	21	8	13	14	4	44	12	15	17	18	35	33	32	48	27	
D_1_2_3_5	7	19	7	36	26	24	25	29	30	21	20	33	16	37	11	6	5	42	43	2	38	39	35	40	34	41	32	47	28	49	10	23	3	14	4	8	9	1	46	45	44	48	12	13	15	17	18	22	31	27	
D_1_2_3_5	8	25	19	20	40	36	35	26	21	30	8	7	29	5	48	3	43	16	33	24	34	37	38	39	41	42	44	32	28	49	23	4	6	9	11	12	10	15	22	13	17	27	18	31	2	1	45	46	47	14	
D_1_2_3_5	9	16	33	25	34	48	29	22	21	19	17	32	12	26	40	8	7	43	5	4	3	44	35	36	31	30	47	24	49	23	20	15	2	10	6	27	28	1	46	45	42	41	38	39	37	11	13	14	18	9	
D_1_2_3_5	10	48	44	35	33	22	21	26	27	17	15	32	23	12	8	40	43	4	47	34	31	36	29	25	46	24	49	19	18	1	16	2	14	3	5	9	7	20	45	42	41	37	39	38	10	11	13	30	28	6	
D_1_2_3_5	11	48	27	18	44	17	15	22	31	32	14	34	12	40	4	3	46	47	35	25	33	38	41	43	30	24	49	21	1	2	20	16	5	11	23	9	8	26	45	6	42	7	37	36	10	13	19	29	28	39	
D_1_2_3_5	12	27	18	17	23	31	32	34	15	14	28	12	49	39	44	45	4	46	47	1	13	38	41	43	35	33	30	29	37	24	9	48	22	2	3	16	11	10	5	6	7	42	25	40	26	36	19	20	21	8	
D_1_2_3_5	13	13	1	46	45	18	23	31	15	14	28	39	49	9	41	42	2	10	27	38	37	35	44	34	32	47	30	29	24	12	48	22	3	4	6	17	8	11	5	43	7	25	26	16	36	19	33	20	21	40	
D_1_2_3_5	14	39	37	13	45	36	14	11	10	18	38	42	6	46	28	2	1	41	31	29	30	24	27	47	32	26	49	15	23	22	21	3	4	17	5	7	8	12	9	44	43	48	25	16	35	34	33	19	20	40	
D_1_2_3_5	15	42	39	45	13	28	37	38	20	41	11	9	7	6	30	2	1	10	36	31	29	24	43	46	47	40	26	49	23	22	21	5	8	19	12	14	16	27	3	4	44	17	25	18	35	34	33	32	48	15	
D_1_2_3_5	16	19	6	42	24	25	36	20	37	38	16	30	41	10	9	7	5	2	11	29	40	39	43	45	46	34	32	31	47	49	26	1	3	22	21	8	28	14	13	27	4	44	12	15	18	35	33	23	48	17	
D_1_2_3_5	17	36	19	25	7	26	5	29	30	21	20	33	16	35	24	37	11	38	6	43	41	32	47	39	40	42	28	34	49	10	23	22	14	3	4	9	8	1	46	45	44	2	48	12	13	15	17	18	31	27	
D_1_2_3_5	18	25	20	19	16	40	26	21	29	30	33	34	48	35	8	7	5	3	43	44	38	32	41	42	28	36	24	49	10	22	15	12	11	4	23	6	9	47	46	45	1	2	27	37	13	14	31	17	18	39	
D_1_2_3_5	19	44	33	25	49	48	22	21	29	19	17	16	32	34	35	40	8	43	5	4	3	12	26	36	31	46	27	47	24	20	2	15	6	7	10	23	28	1	45	42	41	38	39	37	11	13	14	18	30	9	
D_1_2_3_5	20	48	44	35	33	22	21	26	18	17	27	15	31	12	34	8	40	43	4	46	47	23	32	36	25	24	49	16	1	2	14	3	5	9	7	20	19	45	42	41	6	37	38	10	11	13	30	29	28	39	
D_1_2_3_5	21	48	18	17	15	44	27	31	32	14	34	12	49	40	4	3	46	47	41	43	45	33	30	38	35	24	1	22	2	5	21	20	16	11	23	10	8	9	25	6	7	42	37	36	13	19	29	28	26	39	
D_1_2_3_5	22	27	31	18	45	17	23	32	15	14	28	12	49	39	4	46	47	1	13	38	41	43	35	44	34	33	30	29	37	24	9	48	22	2	3	11	10	8	5	6	7	42	25	26	36	16	19	20	21	40	
D_1_2_3_5	23	13	1	18	45	23	31	15	14	28	10	27	39	41	42	46	2	9	38	37	36	35	34	32	47	30	29	24	49	11	48	22	3	4	5	17	12	6	8	7	44	43	25	26	16	19	33	20	21	40	
D_1_2_3_5	24	41	37	28	13	45	39	14	38	30	10	11	42	6	2	1	36	29	31	24	27	46	47	32	26	49	15	23	22	21	3	4	18	17	5	7	8	12	9	44	43	25	48	16	35	34	33	19	20	40	
D_1_2_3_5	25	37	39	6	28	13	42	36	20	45	41	30	11	9	7	5	38	2	1	40	29	26	31	43	24	22	21	19	16	46	14	12	10	8	47	3	23	44	0	34	33	32	27	25	48	18	17	15	4	35	
D_1_2_3_5	26	19	36	6	42	24	25	30	20	37	16	38	26	29	11	10	9	7	5	2	41	39	43	46	35	34	32	47	40	49	14	1	3	22	21	28	13	45	44	4	8	12	27	17	18	33	23	31	48	15	
D_1_2_3_5	27	26	20	19	25	48	29	21	30	16	33	36	24	37	38	7	6	43	11	35	34	39	32	40	41	42	28	47	49	23	3	4	5	8	10	9	22	14	13	12	15	27	17	31	18	2	44	45	46	1	
D_1_2_3_5	28	20	19	40	16	25	34	48	22	21	29	33	12	26	8	7	5	3	43	44	35	36	38	32	30	42	27	24	49	9	15	11	10	4	23	6	47	46	45	1	2	41	28	37	13	14	31	17	18	39	
D_1_2_3_5	29	48	44	35	33	25	22	21	26	19	17	16	29	32	49	8	40	43	4	34	12	31	36	27	46	47	24	20	2	15	3	5	10	9	7	23	1	45	42	41	6	37	38	11	13	14	30	28	18	39	
D_1_2_3_5	30	48	44	15	33	22	21	27	18	17	14	31	23	12	34	8	35	40	43	4	46	47	30	26	32	24	49	20	1	2	16	3	5	9	7	25	45	42	41	6	37	38	36	10	11	13	29	28	19	39	
D_1_2_3_5	31	12	18	17	15	44	27	3	31	32	34	1	47	46	14	49	40	4	30	35	38	41	33	43	37	45	24	48	2	5	23	22	21	16	8	11	9	10	26	6	7	42	13	25	36	19	20	29	28	39	
D_1_2_3_5	32	1	31	45	18	17	49	23	32	15	14	28	13	39	41	4	46	47	27	37	42	35	43	44	34	33	30	29	38	24	10	48	2	3	8	12	11	9	5	6	7	25	26	36	16	19	20	21	22	40	
D_1_2_3_5	33	1	18	45	13	24	28	31	15	14	23	27	38	39	41	42	46	47	2	10	37	34	32	30	29	36	49	11	3	22	4	5	17	6	7	12	9	8	44	43	40	26	35	16	33	19	20	21	48	25	
D_1_2_3_5	34	11	37	13	39	42	41	28	45	6	36	10	38	2	1	29	30	31	24	27	46	47	32	26	49	5	12	14	23	7	9	17	8	19	4	21	22	3	18	44	43	48	15	35	34	33	16	20	25	40	
D_1_2_3_5	35	42	39	28	6	13	20	36	41	45	30	25	37	9	7	5	2	38	11	40	29	34	26	31	24	22	21	19	16	14	46	10	8	47	3	1	23	43	44	0	33	32	27	48	18	17	15	12	4	35	
D_1_2_3_5	36	26	19	36	6	24	25	20	37	16	38	30	29	10	9	42	7	5	2	11	41	47	32	33	46	35	43	40	34	39	49	14	3	23	22	21	28	13	1	45	44	4	8	27	15	17	18	48	31	12	
D_1_2_3_5	37	25	26	21	20	19	29	30	16	33	48	11	35	37	7	6	40	43	36	34	38	32	39	41	42	28	24	49	8	22	15	14	10	9	23	5	4	3	47	46	45	44	1	27	12	13	31	17	18	2	
D_1_2_3_5	38	20	40	16	25	34	48	29	22	21	19	33	12	26	8	7	5	4	3	43	44	35	36	38	32	31	30	24	49	9	23	17	15	10	27	6	47	46	45	1	2	42	28	39	37	11	13	14	18	41	
D_1_2_3_5	39	44	35	33	48	24	43	40	32	29	27	26	22	21	19	17	16	49	12	4	8	14	47	46	2	3	36	34	15	31	5	9	25	10	23	7	20	30	18	13	45	1	42	39	11	38	37	6	28	41	
D_1_2_3_5	40	48	17	44	15	18	21	14	31	12	22	34	8	35	40	43	4	46	47	33	27	24	30	25	32	49	20	1	2	3	16	5	11	9	7	23	45	42	41	6	37	38	36	10	13	29	28	19	26	39	
D_1_2_3_5	41	27	18	17	44	12	31	32	34	15	14	49	1	47	46	4	3	39	29	30	33	35	37	45	43	28	41	40	38	24	11	48	23	22	2	5	16	8	10	9	6	7	42	25	13	36	19	20	21	26	
D_1_2_3_5	42	1	45	18	49	31	23	32	17	15	27	13	14	28	10	9	41	47	46	39	29	30	44	38	35	43	42	37	33	34	24	11	48	22	2	3	4	12	8	5	6	7	25	26	16	36	19	20	21	40	
D_1_2_3_5	43	1	13	45	18	38	15	23	28	11	10	39	42	6	46	47	2	41	31	29	30	24	34	36	37	32	27	49	12	3	22	4	5	17	7	8	14	26	9	44	43	25	16	35	33	19	20	21	48	40	
D_1_2_3_5	44	41	38	13	28	39	45	42	37	10	11	6	2	1	36	31	29	30	24	27	40	46	47	32	26	49	23	22	21	20	19	3	4	5	7	8	14	12	9	25	44	43	15	16	35	34	33	17	18	48	
D_1_2_3_5	45	13	6	42	30	36	20	19	37	38	16	39	25	28	11	9	7	5	45	2	41	40	43	46	34	31	47	24	49	26	1	3	23	22	8	21	10	14	4	44	12	17	27	18	35	33	32	48	29	15	
D_1_2_3_5	46	6	7	19	36	26	24	25	30	33	21	20	16	37	38	11	42	5	2	29	40	41	35	34	43	46	32	47	39	49	3	23	14	13	28	10	9	27	1	45	44	4	8	12	17	18	22	31	48	15	
D_1_2_3_5	47	25	21	20	19	40	26	29	30	16	33	48	35	37	7	3	43	36	34	38	32	39	41	42	28	44	24	49	9	22	15	14	11	10	23	8	6	5	4	47	46	45	1	2	27	13	31	17	18	12	
D_1_2_3_5	48	25	16	33	34	48	22	21	20	19	17	26	12	29	40	8	7	43	5	4	3	44	35	36	32	31	30	47	24	49	27	23	15	10	6	9	1	46	45	2	42	41	39	38	37	11	13	14	18	28	
D_1_2_3_5	49	33	48	44	35	26	17	27	29	32	12	21	24	8	40	43	4	47	34	22	36	31	46	25	49	20	2	3	5	23	9	10	7	19	15	18	16	14	13	1	45	42	6	39	38	37	28	30	11	41	
D_1_2_3_6	1	23	5	12	42	8	15	34	26	40	35	18	4	29	32	33	31	30	24	38	37	39	41	43	44	46	47	36	28	49	25	48	1	21	20	19	17	2	13	3	10	9	7	45	11	27	14	16	22	6	
D_1_2_3_6	2	23	42	15	49	29	48	30	32	20	19	34	26	27	9	5	2	47	12	39	36	40	35	33	41	43	44	45	37	24	25	1	21	3	17	4	14	13	28	7	46	6	11	10	38	16	18	31	22	8	
D_1_2_3_6	3	23	15	49	26	25	48	20	19	33	16	27	36	34	10	9	43	5	4	44	29	35	40	41	32	31	30	45	47	39	24	21	17	14	13	12	2	28	3	22	1	46	6	11	7	8	38	37	18	42	
D_1_2_3_6	4	20	15	49	26	48	23	31	33	16	27	13	14	28	10	9	39	47	44	4	30	45	36	38	41	34	35	40	32	43	24	25	22	21	19	2	3	11	29	7	1	46	5	8	6	37	12	17	18	42	
D_1_2_3_6	5	14	22	27	25	48	31	33	20	19	17	16	24	44	47	2	3	43	28	9	10	34	39	45	46	35	36	30	41	38	49	11	4	21	15	13	6	7	1	5	42	8	26	29	12	37	18	32	23	40	
D_1_2_3_6	6	22	16	24	43	31	17	14	13	10	33	46	7	6	3	38	39	25	34	27	32	36	37	30	29	28	35	20	48	21	40	19	18	44	45	11	9	47	4	2	1	41	42	0	23	15	12	8	5	26	
D_1_2_3_6	7	22	6	8	11	24	37	17	38	39	14	13	7	45	46	3	1	43	30	31	32	33	36	41	47	29	40	35	28	49	26	25	48	2	21	20	19	18	16	27	5	4	44	9	15	10	12	34	23	42	
D_1_2_3_6	8	18	1	46	6	8	2	45	35	22	17	40	11	32	38	37	24	29	31	30	39	28	41	43	44	36	27	49	25	3	4	5	7	10	12	26	14	13	16	19	21	34	33	9	42	20	23	48	47	15	
D_1_2_3_6	9	1	42	18	8	37	12	11	21	38	45	46	40	29	7	6	30	32	41	28	26	31	39	36	49	44	34	16	13	10	9	5	4	47	2	43	35	0	27	25	48	23	22	20	19	17	15	14	3	33	
D_1_2_3_6	10	8	12	5	42	37	34	11	41	18	21	32	23	1	36	31	33	30	24	40	38	29	43	44	45	46	47	35	28	49	26	25	48	2	3	19	17	4	15	6	7	9	10	39	27	14	16	20	22	13	
D_1_2_3_6	11	23	42	12	49	29	32	18	34	35	15	28	26	40	5	4	39	36	41	43	33	44	31	30	46	47	38	37	24	25	48	1	21	20	19	17	2	13	27	10	9	3	7	45	11	8	14	16	22	6	
D_1_2_3_6	12	23	42	15	49	29	48	30	20	19	34	26	12	27	9	5	43	47	39	35	40	33	32	41	31	44	45	37	36	24	25	21	17	16	14	13	2	3	28	4	7	1	46	10	8	38	11	18	22	6	
D_1_2_3_6	13	15	23	49	33	34	16	28	36	19	10	48	25	44	5	4	3	26	27	9	20	31	35	39	40	41	43	45	47	32	30	24	22	21	17	14	13	2	29	1	46	6	7	11	8	12	38	37	18	42	
D_1_2_3_6	14	20	27	49	26	48	22	31	33	35	16	15	13	14	10	9	39	4	44	47	28	38	40	34	41	43	30	45	29	36	24	23	21	19	2	3	11	25	7	1	46	5	42	8	37	12	17	18	32	6	
D_1_2_3_6	15	22	14	24	33	31	30	27	25	48	20	43	17	16	19	44	10	9	45	47	2	3	36	35	34	32	28	4	41	46	6	7	21	39	11	15	13	38	40	42	0	29	26	23	18	12	8	5	1	37	
D_1_2_3_6	16	22	24	39	38	36	33	25	21	17	16	14	13	41	10	46	3	7	6	11	1	2	37	35	34	4	32	31	30	29	27	45	47	48	43	40	19	18	9	44	28	20	42	0	23	15	12	8	5	26	
D_1_2_3_6	17	6	8	11	24	22	37	17	38	39	14	13	7	45	46	1	43	30	31	32	33	36	41	47	44	29	40	35	28	49	26	25	48	2	21	3	20	19	18	16	27	12	5	4	15	42	10	34	23	9	
D_1_2_3_6	18	8	1	37	46	6	18	38	32	11	40	7	45	2	30	17	31	29	35	24	39	28	41	43	44	36	26	49	14	3	22	21	4	5	19	16	25	13	12	10	47	9	42	27	34	33	20	23	48	15	
D_1_2_3_6	19	1	42	18	37	8	12	11	21	38	34	46	40	29	7	6	5	36	41	28	30	26	31	32	49	44	43	16	45	13	10	9	4	47	2	39	35	0	27	25	48	23	22	20	19	17	15	14	3	33	
D_1_2_3_6	20	8	12	23	5	42	18	11	34	37	32	1	33	31	30	35	36	24	40	39	29	41	43	44	45	46	47	38	28	49	26	25	48	2	21	20	19	17	3	15	4	6	10	9	7	14	27	16	22	13	
D_1_2_3_6	21	23	42	49	29	30	32	18	34	35	15	12	26	40	5	4	2	39	28	36	41	43	33	31	46	47	38	37	24	25	48	1	21	20	19	17	3	14	13	27	10	9	7	45	44	11	8	16	22	6	
D_1_2_3_6	22	23	42	15	49	29	48	20	19	34	26	12	36	9	43	5	4	47	27	40	35	41	33	32	31	30	44	45	39	24	25	21	17	16	14	13	2	3	28	10	1	46	6	11	8	38	37	18	22	7	
D_1_2_3_6	23	15	48	23	49	16	28	20	10	19	9	44	4	3	26	27	25	33	31	32	35	36	38	39	40	41	43	45	47	34	30	24	22	21	17	14	13	2	11	29	5	1	46	6	8	7	12	37	18	42	
D_1_2_3_6	24	27	22	49	26	25	48	31	33	20	35	16	15	28	14	10	9	44	4	47	13	38	39	36	34	40	41	43	45	46	30	24	21	19	2	3	11	29	7	23	1	5	6	8	12	37	17	18	32	42	
